RefID,Authors,Year,Title,Reference_Full,Measurement device(s),Notes on the inclusion of scales in the database,doi,crossref_title,crossref_authors,crossref_year,crossref_journal,crossref_volume,crossref_issue,crossref_page,crossref_publisher,crossref_type,best_title,best_authors,best_year,best_reference
1,Hewitt,2013,Musical Scales of the World,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",,,,,,,,,,,,,Musical Scales of the World,Hewitt,2013,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013"
2,Rechberger,2018,Scales and Modes around the World,"H. Rechberger. Scales and Modes Around the World: The Complete Guide to the Scales and Modes of the World. Fennica Gehrman Ltd., 2018",,"Many scales were omitted that were identical to those in Ref 1. There is a chapter devoted to ancient Greek scales. There is a lot of information here, but I decided that the previous inclusion of diatonic modes is sufficient. It might be worthwhile going back over this some day to include all of the hyper- and hypo- versions of the modes, where alternative types of pythagorean tunings are used. After reading the sources in the bibliography (see David Monroe, The Modes of Ancient Greek Music), it seems that I am right to be skeptical - the use of this extended set of modes seems to be hypothetical. I also do not include the section on modes where the author seems to simply be enumerating circular permutants of scales. Reports of scales in Western staff notation are ignored if there is no tuning system specified. Sometimes there were extensions of Turkish scales above and below the octave - these were only included as new scales if there were differences between the notes in the upper and lower octaves. Many of the Turkish scales were duplicates, and occasionally the information was confusing. It would be good to eventually get a better source for these.",,,,,,,,,,,Scales and Modes around the World,Rechberger,2018,"H. Rechberger. Scales and Modes Around the World: The Complete Guide to the Scales and Modes of the World. Fennica Gehrman Ltd., 2018"
3,Ellis,1885,On the Musical Scales of Various Nations,"A. J. Ellis. On the Musical Scales of Various Nations. Journal of the Society of arts, 1885",,"Upon reading that a note is a  'mere grace note', we do not include this note in the scale; this was encountered twice. In many instances the 'tempered' version of recorded scales are given. I ignore these as they appear to be imposed by the author. Any other attempts at guesswork were likewise ignored. For some tunings, it was difficult to read the origin of the instrument. Typically this is true for museum specimens. These cases were ignored. I could not read some pages (Western Africa) in the scan that I have access to. This source contained a lot of instrument tunings that only consisted of exact just-tuned intervals (90 cents, 204 cents, etc), and the source is not clear on how these numbers were obtained; in these cases I declined to record them as they appear to be guessed. Reports of non-Western scales converted to Western staff notation are ignored if there is no tuning system specified.",,,,,,,,,,,On the Musical Scales of Various Nations,Ellis,1885,"A. J. Ellis. On the Musical Scales of Various Nations. Journal of the Society of arts, 1885"
4,Wachsmann,1950,An equal-stepped tuning in a ganda harp,"K. P. Wachsmann. An equal-stepped tuning in a ganda harp. Nature, 165(4184):40-41, 1950. doi: 10.1038/165040a0",Stroboconn,,10.1038/165040a0,An Equal-Stepped Tuning in a Ganda Harp,"WACHSMANN, K. P.",1950,Nature,165,4184,40-41,Springer Science and Business Media LLC,journal-article,An Equal-Stepped Tuning in a Ganda Harp,"Wachsmann, K. P.",1950,"Wachsmann, K. P. (1950). An Equal-Stepped Tuning in a Ganda Harp. Nature, 165(4184):40-41."
5,Kubik,1964,Harp music of the azande and related peoples in the Central African Republic,"Gerhard Kubik. Harp music of the azande and related peoples in the central african republic: (part i horizontal harp playing). Afr. Music, 3(3):37-76, 1964",Stroboconn,"Despite noting in the text that the octave, the final interval leading to the octave is not reported. In this case I assume that the octave is perfect, and insert the missing interval.",10.21504/amj.v3i3.1034,Harp music of the Azande and related peoples in the Central African Republic (Part 1 - Horizontal harp playing),"Kubik, Gerhard",1964,African Music: Journal of the African Music Society,3,3,37-76,Rhodes University,journal-article,Harp music of the Azande and related peoples in the Central African Republic (Part 1 - Horizontal harp playing),"Kubik, Gerhard",1964,"Kubik, Gerhard (1964). Harp music of the Azande and related peoples in the Central African Republic (Part 1 - Horizontal harp playing). African Music: Journal of the African Music Society, 3(3):37-76."
6,Brandel,1967,The music of Central Africa,"R. Brandel. The Music of Central Africa: An Ethnomusicological Study: Former French Equatorial Africa the Former Belgian Congo, Ruanda-Urundi Uganda, Tanganyika. Springer Science and Business Media, 1967",Monochord,,,,,,,,,,,,The music of Central Africa,Brandel,1967,"R. Brandel. The Music of Central Africa: An Ethnomusicological Study: Former French Equatorial Africa the Former Belgian Congo, Ruanda-Urundi Uganda, Tanganyika. Springer Science and Business Media, 1967"
7,Kunst,1967,Music in New Guinea,"J. Kunst. Music in New Guinea. Brill, 1967",Not mentioned clearly,,10.1007/978-94-017-6083-6,Music in New Guinea,"Kunst, Jaap",1967,,,,,Springer Netherlands,book,Music in New Guinea,"Kunst, Jaap",1967,"Kunst, Jaap (1967). Music in New Guinea. Springer Netherlands."
8,"Rouget, Schwarz",1969,Sur les xylophones equiheptaphoniques de malink,"Gilbert Rouget and J. Schwarz. Sur les xylophones quiheptaphoniques des malink. Rev. Musicol., 55(1):47-77, 1969. doi: 10.2307/927751",Stroboconn,,10.2307/927751,Sur les xylophones equiheptaphoniques des Malinke,"Rouget, Gilbert; Schwarz, J.",1969,Revue de musicologie,55,1,47,JSTOR,journal-article,Sur les xylophones equiheptaphoniques des Malinke,"Rouget, Gilbert; Schwarz, J.",1969,"Rouget, Gilbert; Schwarz, J. (1969). Sur les xylophones equiheptaphoniques des Malinke. Revue de musicologie, 55(1):47."
9,Tracey,1970,The matepe mbira music of rhodesia,"A. Tracey. The matepe mbira music of rhodesia. Afr. Music, 4(4):37-61, 1970. doi: 10.21504/amj.v4i4.1681",Not mentioned clearly,,10.21504/amj.v4i4.1681,The Matepe mbira music of Rhodesia,"Tracey, Andrew",1970,African Music: Journal of the African Music Society,4,4,37-61,Rhodes University,journal-article,The Matepe mbira music of Rhodesia,"Tracey, Andrew",1970,"Tracey, Andrew (1970). The Matepe mbira music of Rhodesia. African Music: Journal of the African Music Society, 4(4):37-61."
10,Tracey,1971,The nyanga panpipe dance,"A. Tracey. The nyanga panpipe dance. Afr. Music, 5(1):73-89, 1971. doi: 10.21504/amj.v5i1.1152",Not mentioned clearly,,10.21504/amj.v5i1.1152,The nyanga panpipe dance,"Tracey, Andrew",1971,African Music: Journal of the African Music Society,5,1,73-89,Rhodes University,journal-article,The nyanga panpipe dance,"Tracey, Andrew",1971,"Tracey, Andrew (1971). The nyanga panpipe dance. African Music: Journal of the African Music Society, 5(1):73-89."
11,Knight,1976,Kora music from the gambia,"R. Knight. Kora music from the gambia, played by foday musa suso, 1976","5 cents resolution given, but no measurement device specified",,,,,,,,,,,,Kora music from the gambia,Knight,1976,"R. Knight. Kora music from the gambia, played by foday musa suso, 1976"
12,"Surjodiningrat, Susanto, Sudarjana",1972,Tone Measurements of Outstanding Javanese Gamelans in Jogjakarta and Surakarta,"W. Surjodiningrat, A. Susanto, and P. J. Sudarjana. Tone Measurements of Outstanding Javanese Gamelans in Jogjakarta and Surakarta. Gadjah Mada University Press, 1972",Electronic / numerical analysis; 'frequency differences of about 0.1 percent were easily detected',"Out of all the information in this source, here we show the data from Tables 8 and 9. These correspond to 'classification of 28 (30) outstanding slendro (pelog) gamelans in Yogyakarta and Surakarta in accordance with their laras based on the pitches of saron demung or gender barung'. Raw data is listed in Hz; this has to be converted to cents.",,,,,,,,,,,Tone Measurements of Outstanding Javanese Gamelans in Jogjakarta and Surakarta,"Surjodiningrat, Susanto, Sudarjana",1972,"W. Surjodiningrat, A. Susanto, and P. J. Sudarjana. Tone Measurements of Outstanding Javanese Gamelans in Jogjakarta and Surakarta. Gadjah Mada University Press, 1972"
13,"Morton, Duriyanga",1976,The Traditional Music of Thailand,"D. Morton and C. Duriyanga. The Traditional Music of Thailand, volume 8. Univ of California Press, 1976",Monochord and Stroboconn,,10.1525/9780520321335,The Traditional Music of Thailand,"Morton, David",1976,,,,,University of California Press,edited-book,The Traditional Music of Thailand,"Morton, Duriyanga",1976,"D. Morton and C. Duriyanga. The Traditional Music of Thailand, volume 8. Univ of California Press, 1976"
14,Haeberli,1979,Twelve nasca panpipes: A study,"Joerg Haeberli. Twelve nasca panpipes: A study. Ethnomusicology, 23(1):57-74, 1979. doi: 10.2307/851338",Stroboconn,The interval between the first note and its overblown harmonic is not included for consistency (since only the overblown harmonic for one note is reported),10.2307/851338,Twelve Nasca Panpipes: A Study,"Haeberli, Joerg",1979,Ethnomusicology,23,1,57,University of Illinois Press,journal-article,Twelve Nasca Panpipes: A Study,"Haeberli, Joerg",1979,"Haeberli, Joerg (1979). Twelve Nasca Panpipes: A Study. Ethnomusicology, 23(1):57."
15,Kubik,1980,Likembe tuning of Kufuna Kandonga (Angola),"Gerhard Kubik. Likembe tunings of kufuna kandonga (angola). Afr. Music, 6(1):70-88, 1980",Stroboconn,,10.21504/amj.v6i1.1097,Likembe tunings of Kufuna Kandonga (Angola),"Kubik, Gerhard",1980,African Music: Journal of the International Library of African Music,6,1,70-88,Rhodes University,journal-article,Likembe tunings of Kufuna Kandonga (Angola),"Kubik, Gerhard",1980,"Kubik, Gerhard (1980). Likembe tunings of Kufuna Kandonga (Angola). African Music: Journal of the International Library of African Music, 6(1):70-88."
16,Van Zanten,1980,The equidistant heptatonic scale of the Asena in Malawi,"W. Van Zanten. The equidistant heptatonic scale of the asena in malawi. Afr. Music, 6(1):107-125, 1980. doi: 10.21504/amj. V6i1.1099",Tuning forks; measurement error noted as 9 cents,,10.21504/amj.V6i1.1099,The equidistant heptatonic scale of the Asena in Malawi,"Van Zanten, Wim",1980,African Music: Journal of the International Library of African Music,6,1,107-125,Rhodes University,journal-article,The equidistant heptatonic scale of the Asena in Malawi,"Van Zanten, Wim",1980,"Van Zanten, Wim (1980). The equidistant heptatonic scale of the Asena in Malawi. African Music: Journal of the International Library of African Music, 6(1):107-125."
17,Zemp,1981,Melanesian solo polyphonic panpipe music,"Hugo Zemp. Melanesian solo polyphonic panpipe music. Ethnomusicology, 25(3):383-418, 1981. doi: 10.2307/851551",Stroboconn,,10.2307/851551,Melanesian Solo Polyphonic Panpipe Music,"Zemp, Hugo",1981,Ethnomusicology,25,3,383,University of Illinois Press,journal-article,Melanesian Solo Polyphonic Panpipe Music,"Zemp, Hugo",1981,"Zemp, Hugo (1981). Melanesian Solo Polyphonic Panpipe Music. Ethnomusicology, 25(3):383."
18,Aning,1982,Tuning the kora: A case study of the norms of a Gambian musician,"B. A. Aning. Tuning the kora: A case study of the norms of a gambian musician. J. Afr. Stud., 9(3):164, 1982",Tuning forks,,,,,,,,,,,,Tuning the kora: A case study of the norms of a Gambian musician,Aning,1982,"B. A. Aning. Tuning the kora: A case study of the norms of a gambian musician. J. Afr. Stud., 9(3):164, 1982"
19,"Ho, Han",1982,On Chinese scales and national modes,"Ho Lu-Ting and Han Kuo-huang. On chinese scales and national modes. Asian Music, 14(1):132-154, 1982. doi: 10.2307/ 834047",,"Despite being written on Western staff notation, I have assumed that these scales follow the Shi-er-lu tuning system.",10.2307/834047,On Chinese Scales and National Modes,"Lu-Ting, Ho; Kuo-huang, Han",1982,Asian Music,14,1,132,JSTOR,journal-article,On Chinese Scales and National Modes,"Lu-Ting, Ho; Kuo-huang, Han",1982,"Lu-Ting, Ho; Kuo-huang, Han (1982). On Chinese Scales and National Modes. Asian Music, 14(1):132."
20,Kubik,1984,A structural examination of homophonic multi-part sining in east and central Africa,"G. Kubik. A structural examination of homophonic multi-part singing in east and central africa. Anuario Musical, 39:27, 1984",Stroboconn,,,,,,,,,,,,A structural examination of homophonic multi-part sining in east and central Africa,Kubik,1984,"G. Kubik. A structural examination of homophonic multi-part singing in east and central africa. Anuario Musical, 39:27, 1984"
21,Kubik,1985,African tone-systems: a reassessment,"Gerhard Kubik. African tone-systems: A reassessment. Yearb. Tradit. Music, 17:31-63, 1985. doi: 10.2307/768436",Tuning forks; same range of tuning forks as +AFs-16+AF0-,,10.2307/768436,African Tone-Systems: A Reassessment,"Kubik, Gerhard",1985,Yearbook for Traditional Music,17,,31,JSTOR,journal-article,African Tone-Systems: A Reassessment,"Kubik, Gerhard",1985,"Kubik, Gerhard (1985). African Tone-Systems: A Reassessment. Yearbook for Traditional Music, 17:31."
22,Gottllieb,1986,Music of the blue nile province,"Robert Gottlieb. Sudan ii: Music of the blue nile province; the ingessana and berta tribes, 1986",Not mentioned. Intervals are specified to the nearest 1 cent.,"Despite noting in the text that the octave, the final interval leading to the octave is not reported. In this case I assume that the octave is perfect, and insert the missing interval.",,,,,,,,,,,Music of the blue nile province,Gottllieb,1986,"Robert Gottlieb. Sudan ii: Music of the blue nile province; the ingessana and berta tribes, 1986"
23,"Yu-an, Carterette, Yu-Kui",1987,A comparison of the musical scales of the ancient Chinese bronze bell ensemble and the modern bamboo flute,"R. Yu-An, E. C. Carterette, and W. Yu-Kui. A comparison of the musical scales of the ancient chinese bronze bell ensemble and the modern bamboo flute. Percept. Psychophys., 41(6):547-562, 1987. doi: 10.3758/BF03210489",Briiel and Kjaer Type 2300 High-Resolution Signal Analyzer; a group of listeners matched computer generated sine tones to the fundamental frequencies of the instruments.,,10.3758/BF03210489,Acomparison of the musical scales of the ancient Chinese bronze bell ensemble and the modern bamboo flute,"Yu-An, Rao; Carterette, Edward C.; Yu-Kui, Wu",1987,Perception & Psychophysics,41,6,547-562,Springer Science and Business Media LLC,journal-article,A comparison of the musical scales of the ancient Chinese bronze bell ensemble and the modern bamboo flute,"Yu-An, Rao; Carterette, Edward C.; Yu-Kui, Wu",1987,"Yu-An, Rao; Carterette, Edward C.; Yu-Kui, Wu (1987). A comparison of the musical scales of the ancient Chinese bronze bell ensemble and the modern bamboo flute. Perception & Psychophysics, 41(6):547-562."
24,"Keefe, Burns, Nguyen",1991,Vietnamese modal scales of the dan tranh,"D. H. Keefe, E. M. Burns, and P. Nguyen. Vietnamese modal scales of the dan tranh. Music Percept., 8(4):449-468, 1991. doi: 10.2307/40285522",Peterson tuner; 1 cent accuracy,"Despite noting in the text that the octave, the final interval leading to the octave is not reported. In this case I assume that the octave is perfect, and insert the missing interval.",10.2307/40285522,Vietnamese Modal Scales of the Dan Tranh,"Keefe, Douglas H.; Burns, Edward M.; Nguyen, Phong",1991,Music Perception,8,4,449-468,University of California Press,journal-article,Vietnamese Modal Scales of the Dan Tranh,"Keefe, Douglas H.; Burns, Edward M.; Nguyen, Phong",1991,"Keefe, Douglas H.; Burns, Edward M.; Nguyen, Phong (1991). Vietnamese Modal Scales of the Dan Tranh. Music Perception, 8(4):449-468."
25,Tracey,1991,Kambazithe Makolekole and his valimba group,"A. Tracey. Kambazithe makolekole and his valimba group: A glimpse of the technique of the sena xylophone. Afr. Music, 7 (1):82-104, 1991. doi: 10.21504/amj.v7i1.1932",Tuning forks,,10.21504/amj.v7i1.1932,Kambazithe Makolekole and his valimba group: a glimpse of the technique of the Sena xylophone,"Tracey, Andrew",2017,African Music : Journal of the International Library of African Music,7,1,82-104,Rhodes University,journal-article,Kambazithe Makolekole and his valimba group: a glimpse of the technique of the Sena xylophone,"Tracey, Andrew",1991,"Tracey, Andrew (1991). Kambazithe Makolekole and his valimba group: a glimpse of the technique of the Sena xylophone. African Music : Journal of the International Library of African Music, 7(1):82-104."
26,"Carterette, Kendall, de Vale",1993,Comparative acoustical and psychoacoustical analyses of gamelan instrument tones,"Edward C. Carterette, Roger A. Kendall, and Sue Carole De Vale. Comparative acoustical and psychoacoustical analyses of gamelan instrument tones. Journal of the Acoustical Society of Japan (E), 14(6):383-396, 1993. doi: 10.1250/ast.14.383",Hewlett-Packard 5512A,,10.1250/ast.14.383,Comparative acoustical and psychoacoustical analyses of gamelan instrument tones.,"Carterette, Edward C.; Kendall, Roger A.; Vale, Sue Carole De",1993,Journal of the Acoustical Society of Japan (E),14,6,383-396,Acoustical Society of Japan,journal-article,Comparative acoustical and psychoacoustical analyses of gamelan instrument tones.,"Carterette, Edward C.; Kendall, Roger A.; Vale, Sue Carole De",1993,"Carterette, Edward C.; Kendall, Roger A.; Vale, Sue Carole De (1993). Comparative acoustical and psychoacoustical analyses of gamelan instrument tones.. Journal of the Acoustical Society of Japan (E), 14(6):383-396."
27,Schneider,2001,"Sound, pitch, and scale: From 'tone measurements' to sonological analysis in ethnomusicology","Albrecht Schneider. Sound, pitch, and scale: From 'tone measurements' to sonological analysis in ethnomusicology. Ethno- musicology, 45(3):489-519, 2001. doi: 10.2307/852868",Computational,,10.2307/852868,"Sound, Pitch, and Scale: From ""Tone Measurements"" to Sonological Analysis in Ethnomusicology","Schneider, Albrecht",2001,Ethnomusicology,45,3,489,University of Illinois Press,journal-article,"Sound, Pitch, and Scale: From ""Tone Measurements"" to Sonological Analysis in Ethnomusicology","Schneider, Albrecht",2001,"Schneider, Albrecht (2001). Sound, Pitch, and Scale: From ""Tone Measurements"" to Sonological Analysis in Ethnomusicology. Ethnomusicology, 45(3):489."
28,"Attakitmongcol, Chinvejkitvanich, Sujitjorn",2004,Characterization of traditional thai musical scale,"K. Attakitmongcol, R. Chinvejkitvanich, and S. Sujitjorn. Characterization of traditional thai musical scale. In Proceedings of the 5th WSEAS International Conference on Acoustics and Music: Theory and Applications (AMTA04), 2004",Computational,,,,,,,,,,,,Characterization of traditional thai musical scale,"Attakitmongcol, Chinvejkitvanich, Sujitjorn",2004,"K. Attakitmongcol, R. Chinvejkitvanich, and S. Sujitjorn. Characterization of traditional thai musical scale. In Proceedings of the 5th WSEAS International Conference on Acoustics and Music: Theory and Applications (AMTA04), 2004"
29,"Zhang, Xiao, Lee",2004,The early development of music: analysis of the jiahu bone flutes,"J. Zhang, X. Xiao, and Y. K. Lee. The early development of music. analysis of the jiahu bone flutes. Antiquity, 78(302): 769778, 2004. doi: 10.1017/S0003598X00113432",Stroboconn,"Despite recording cents to an accuracy of 1 cent, many intervals fall on exact 12-TET intervals. Given the leeway in tuning for flutes this looks like a potential case of bias on part of the researchers. Nonetheless, I reserve judgment and include the scales.",10.1017/S0003598X00113432,The early development of music. Analysis of the Jiahu bone flutes,"Zhang, Juzhong; Xiao, Xinghua; Lee, Yun Kuen",2004,Antiquity,78,302,769-778,Cambridge University Press (CUP),journal-article,The early development of music. Analysis of the Jiahu bone flutes,"Zhang, Juzhong; Xiao, Xinghua; Lee, Yun Kuen",2004,"Zhang, Juzhong; Xiao, Xinghua; Lee, Yun Kuen (2004). The early development of music. Analysis of the Jiahu bone flutes. Antiquity, 78(302):769-778."
30,Sethares,2005,"Tuning, Timbre, Spectrum, Scale","W. A. Sethares. Tuning, Timbre, Spectrum, Scale. Springer Science and Business Media, 2005",Computational,,10.1007/b138848,"Tuning, Timbre, Spectrum, Scale",,2005,,,,,Springer-Verlag,book,"Tuning, Timbre, Spectrum, Scale",Sethares,2005,"Sethares (2005). Tuning, Timbre, Spectrum, Scale. Springer-Verlag."
